# time_s,x_m,y_m,psi_rad,delta_rad,vx_mps,ax_mps2
3.060000,-2.460044,-6.301534,2.226363,-0.250475,3.335082,1.359208
3.070000,-2.489106,-6.262236,2.188874,-0.245310,3.352008,1.461499
3.080000,-2.516692,-6.221886,2.152180,-0.240487,3.371153,1.537143
3.090000,-2.542795,-6.180558,2.116224,-0.235973,3.391904,1.594228
3.100000,-2.567410,-6.138329,2.080952,-0.231733,3.413661,1.640639
3.110000,-2.590533,-6.095267,2.046323,-0.227729,3.436088,1.680610
3.120000,-2.612166,-6.051436,2.012310,-0.223917,3.459071,1.715245
3.130000,-2.632310,-6.006900,1.978887,-0.220251,3.482506,1.745541
3.140000,-2.650967,-5.961721,1.946029,-0.216687,3.506289,1.772554
3.150000,-2.668141,-5.915960,1.913727,-0.213165,3.530346,1.798675
3.160000,-2.683843,-5.869672,1.881992,-0.209608,3.554633,1.827684
3.170000,-2.698084,-5.822913,1.850838,-0.205937,3.579109,1.863425
3.180000,-2.710873,-5.775736,1.820276,-0.202078,3.603736,1.909619
3.190000,-2.722225,-5.728195,1.790309,-0.198046,3.628559,1.965589
3.200000,-2.732161,-5.680337,1.760929,-0.193972,3.653732,2.025166
3.210000,-2.740702,-5.632208,1.732127,-0.189992,3.679418,2.081833
3.220000,-2.747869,-5.583857,1.703893,-0.186242,3.705774,2.129167
3.230000,-2.753684,-5.535325,1.676221,-0.182751,3.732828,2.165880
3.240000,-2.758168,-5.486652,1.649107,-0.179390,3.760409,2.198436
3.250000,-2.761345,-5.437876,1.622547,-0.176017,3.788331,2.233945
3.260000,-2.763238,-5.389032,1.596536,-0.172490,3.816407,2.279481
3.270000,-2.763870,-5.340158,1.571079,-0.168735,3.844576,2.338663
3.280000,-2.763271,-5.291282,1.546192,-0.164804,3.872997,2.408791
3.290000,-2.761472,-5.242434,1.521891,-0.160762,3.901857,2.486489
3.300000,-2.758502,-5.193644,1.498194,-0.156673,3.931340,2.568389
3.310000,-2.754391,-5.144938,1.475117,-0.152573,3.961579,2.652787
3.320000,-2.749174,-5.096338,1.452672,-0.148431,3.992590,2.741694
3.330000,-2.742883,-5.047863,1.430870,-0.144210,4.024371,2.837623
3.340000,-2.735552,-4.999535,1.409721,-0.139870,4.056924,2.943085
3.350000,-2.727216,-4.951372,1.389238,-0.135390,4.090275,3.059420
3.360000,-2.717911,-4.903386,1.369432,-0.130795,4.124524,3.184760
