# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,vy_mps,psi_rate_radps
1.910000,0.860954,-3.354653,-1.671428,-0.105819,6.568351,-0.000102,-0.516928
1.920000,0.855917,-3.403275,-1.676654,-0.108096,6.527833,-0.000115,-0.528177
1.930000,0.850622,-3.451870,-1.681991,-0.110309,6.487298,-0.000120,-0.539249
1.940000,0.845066,-3.500436,-1.687439,-0.112494,6.446751,-0.000108,-0.550198
1.950000,0.839243,-3.548970,-1.692995,-0.114686,6.406197,-0.000088,-0.561030
1.960000,0.833147,-3.597470,-1.698659,-0.116923,6.365639,-0.000074,-0.571886
1.970000,0.826775,-3.645935,-1.704433,-0.119223,6.325084,-0.000079,-0.583011
1.980000,0.820120,-3.694362,-1.710319,-0.121589,6.284537,-0.000092,-0.594519
1.990000,0.813177,-3.742748,-1.716323,-0.124026,6.244006,-0.000097,-0.606412
2.000000,0.805941,-3.791091,-1.722448,-0.126537,6.203497,-0.000090,-0.618655
2.010000,0.798406,-3.839388,-1.728696,-0.129116,6.163006,-0.000089,-0.631179
2.020000,0.790567,-3.887637,-1.735071,-0.131749,6.122521,-0.000098,-0.643946
2.030000,0.782417,-3.935834,-1.741575,-0.134421,6.082028,-0.000108,-0.656956
2.040000,0.773950,-3.983976,-1.748210,-0.137117,6.041516,-0.000118,-0.670267
2.050000,0.765161,-4.032060,-1.754980,-0.139853,6.000996,-0.000132,-0.684001
2.060000,0.756043,-4.080083,-1.761890,-0.142677,5.960515,-0.000141,-0.698231
2.070000,0.746590,-4.128040,-1.768945,-0.145640,5.920117,-0.000122,-0.712961
2.080000,0.736796,-4.175929,-1.776150,-0.148794,5.879851,-0.000085,-0.728265
2.090000,0.726654,-4.223745,-1.783510,-0.152155,5.839745,-0.000077,-0.744318
2.100000,0.716156,-4.271484,-1.791036,-0.155696,5.799807,-0.000107,-0.761237
2.110000,0.705295,-4.319142,-1.798735,-0.159381,5.760041,-0.000140,-0.779028
2.120000,0.694063,-4.366713,-1.806617,-0.163176,5.720452,-0.000148,-0.797572
2.130000,0.682452,-4.414194,-1.814687,-0.167052,5.681036,-0.000143,-0.816542
2.140000,0.670454,-4.461578,-1.822947,-0.170986,5.641772,-0.000147,-0.835706
2.150000,0.658060,-4.508860,-1.831401,-0.174957,5.602639,-0.000155,-0.855040
2.160000,0.645262,-4.556034,-1.840048,-0.178941,5.563616,-0.000167,-0.874584
2.170000,0.632052,-4.603094,-1.848892,-0.182938,5.524697,-0.000183,-0.894462
2.180000,0.618422,-4.650035,-1.857937,-0.186995,5.485914,-0.000194,-0.914770
2.190000,0.604363,-4.696848,-1.867188,-0.191165,5.447301,-0.000184,-0.935521
2.200000,0.589866,-4.743528,-1.876648,-0.195501,5.408894,-0.000150,-0.956753
2.210000,0.574925,-4.790067,-1.886323,-0.200034,5.370720,-0.000132,-0.978611
2.220000,0.559528,-4.836458,-1.896220,-0.204738,5.332778,-0.000150,-1.001221
2.230000,0.543668,-4.882692,-1.906347,-0.209580,5.295066,-0.000180,-1.024599
2.240000,0.527335,-4.928761,-1.916712,-0.214523,5.257579,-0.000196,-1.048717
2.250000,0.510519,-4.974657,-1.927322,-0.219544,5.220318,-0.000204,-1.073455
2.260000,0.493212,-5.020370,-1.938181,-0.224656,5.183297,-0.000216,-1.098702
2.270000,0.475403,-5.065889,-1.949296,-0.229878,5.146533,-0.000220,-1.124438
2.280000,0.457084,-5.111206,-1.960670,-0.235229,5.110042,-0.000207,-1.150672
2.290000,0.438244,-5.156309,-1.972309,-0.240726,5.073840,-0.000196,-1.177458
2.300000,0.418875,-5.201188,-1.984219,-0.246358,5.037930,-0.000206,-1.204848
2.310000,0.398967,-5.245829,-1.996406,-0.252114,5.002314,-0.000224,-1.232853
2.320000,0.378509,-5.290222,-2.008876,-0.257978,4.966995,-0.000231,-1.261454
2.330000,0.357494,-5.334354,-2.021635,-0.263937,4.931972,-0.000228,-1.290542
2.340000,0.335910,-5.378210,-2.034687,-0.269979,4.897238,-0.000229,-1.319992
